Round,Opponent,Result,Score,Tournament 
First,Mikael Ymer,W,"6-0, 6-2, 6-3",French open
Second,Ricardas Berankis,W,"6-1, 6-2, 6-2",French open
Third,Daniel Elahi Galan,W,"6-0, 6-3, 6-2",French open
Fourth,Karen Khachanov,W,"6-4, 6-3, 6-3",French open
Quarterfinals,Pablo Carreno Busta,W,"4-6, 6-2, 6-3, 6-4",French open
Semifinals,Stefanos Tsitsipas,W,"6-3, 6-2, 5-7, 4-6, 6-1",French open
Final,Rafael Nadal,L,"0-6, 2-6, 5-7",French open
Second,Salvatore Caruso,W,"6-3, 6-2",Internazionali BNL d`Italia
Third,Filip Krajinovic,W,"7-6 (9-7), 6-3",Internazionali BNL d`Italia
Quarterfinals,Dominik Koepfer,W,"6-3, 4-6, 6-3",Internazionali BNL d`Italia
Semifinals,Casper Ruud,W,"7-5, 6-3",Internazionali BNL d`Italia
Final,Diego Schwartzman,W,"7-5, 6-3",Internazionali BNL d`Italia
First,Damir Dzumhur,W,"6-1, 6-4, 6-1",US OPEN
Second,Kyle Edmund,W,"6-7 (5-7), 6-3, 6-4, 6-2",US OPEN
Third,Jan-Lennard Struff,W,"6-3, 6-3, 6-1",US OPEN
Fourth,Pablo Carreno Busta,L,5-6,US OPEN
Second,Ricardas Berankis,W,"7-6 (7-2), 6-4",Western & Southern Open 
Third,Tennys Sandgren,W,"6-2, 6-4",Western & Southern Open 
Quarterfinals,Jan-Lennard Struff,W,"6-3, 6-1",Western & Southern Open 
Semifinals,Roberto Bautista Agut,W,"4-6, 6-4, 7-6 (7-0)",Western & Southern Open 
Final,Milos Raonic,W,"1-6, 6-3, 6-4",Western & Southern Open 
First,Malek Jaziri,W,"6-1, 6-2",Dubai Duty Free Tennis Championships
Second,Philipp Kohlschreiber,W,"6-3, 6-1",Dubai Duty Free Tennis Championships
Quarterfinals,Karen Khachanov,W,"6-2, 6-2",Dubai Duty Free Tennis Championships
Semifinals,Gael Monfils,W,"2-6, 7-6 (10-8), 6-1",Dubai Duty Free Tennis Championships
Final,Stefanos Tsitsipas,W,"6-3, 6-4",Dubai Duty Free Tennis Championships
First,Jan-Lennard Struff,W,"7-6 (7-5), 6-2, 2-6, 6-1",AUSTRALIAN OPEN
Second,Tatsuma Ito,W,"6-1, 6-4, 6-2",AUSTRALIAN OPEN
Third,Yoshihito Nishioka,W,"6-3, 6-2, 6-2",AUSTRALIAN OPEN
Fourth,Diego Schwartzman,W,"6-3, 6-4, 6-4",AUSTRALIAN OPEN
Quarterfinals,Milos Raonic,W,"6-4, 6-3, 7-6 (7-1)",AUSTRALIAN OPEN
Semifinals,Roger Federer,W,"7-6 (7-1), 6-4, 6-3",AUSTRALIAN OPEN
Final,Dominic Thiem,W,"6-4, 4-6, 2-6, 6-3, 6-4",AUSTRALIAN OPEN
Final,Rafael Nadal,W,"6-2, 7-6 (7-4)",ATP Cup - Serbia vs Spain
Final,Pablo Carreno Busta & Feliciano Lopez,W,"6-3, 6-4",ATP Cup - Serbia vs Spain
Semifinals,Daniil Medvedev,W,"6-1, 5-7, 6-4",ATP Cup - Serbia vs Russia
Quarterfinals,Denis Shapovalov,W,"4-6, 6-1, 7-6 (7-4)",ATP Cup - Serbia vs Canada 
Quarterfinals,Denis Shapovalov,W,"4-6, 6-1, 7-6 (7-4)",ATP Cup - Serbia vs Canada
